"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2003"	"2003"	"New Jersey"	"34"	3468	8601402	40.3
	"2003"	"2003"	"New Mexico"	"35"	739	1877574	39.4
	"2003"	"2003"	"New York"	"36"	5562	19175939	29.0
	"2003"	"2003"	"North Carolina"	"37"	3284	8422501	39.0
	"2003"	"2003"	"North Dakota"	"38"	270	638817	42.3
	"2003"	"2003"	"Ohio"	"39"	5247	11434788	45.9
	"2003"	"2003"	"Oklahoma"	"40"	1476	3504892	42.1
	"2003"	"2003"	"Oregon"	"41"	1339	3547376	37.7
	"2003"	"2003"	"Pennsylvania"	"42"	5129	12374658	41.4
	"2003"	"2003"	"Rhode Island"	"44"	363	1071342	33.9
	"2003"	"2003"	"South Carolina"	"45"	1622	4150297	39.1
	"2003"	"2003"	"South Dakota"	"46"	270	763729	35.4
	"2003"	"2003"	"Tennessee"	"47"	2557	5847812	43.7
	"2003"	"2003"	"Texas"	"48"	7424	22030931	33.7
	"2003"	"2003"	"Utah"	"49"	679	2360137	28.8
	"2003"	"2003"	"Vermont"	"50"	278	617858	45.0
	"2003"	"2003"	"Virginia"	"51"	2280	7366977	30.9
	"2003"	"2003"	"Washington"	"53"	1978	6104115	32.4
	"2003"	"2003"	"West Virginia"	"54"	1103	1812295	60.9
	"2003"	"2003"	"Wisconsin"	"55"	1814	5479203	33.1
	"2003"	"2003"	"Wyoming"	"56"	190	503453	37.7
"Total"	"2003"	"2003"			100443	290107933	34.6
	"2004"	"2004"	"Alabama"	"01"	1885	4530729	41.6
	"2004"	"2004"	"Alaska"	"02"	124	659286	18.8
	"2004"	"2004"	"Arizona"	"04"	1520	5652404	26.9
	"2004"	"2004"	"Arkansas"	"05"	1110	2749686	40.4
	"2004"	"2004"	"California"	"06"	9079	35574576	25.5
	"2004"	"2004"	"Colorado"	"08"	998	4575013	21.8
	"2004"	"2004"	"Connecticut"	"09"	1093	3496094	31.3
	"2004"	"2004"	"Delaware"	"10"	331	830803	39.8
	"2004"	"2004"	"District of Columbia"	"11"	293	567754	51.6
	"2004"	"2004"	"Florida"	"12"	6500	17415318	37.3
	"2004"	"2004"	"Georgia"	"13"	2376	8769252	27.1
	"2004"	"2004"	"Hawaii"	"15"	277	1273569	21.7
	"2004"	"2004"	"Idaho"	"16"	451	1391802	32.4
	"2004"	"2004"	"Illinois"	"17"	4120	12589773	32.7
	"2004"	"2004"	"Indiana"	"18"	2239	6233007	35.9
	"2004"	"2004"	"Iowa"	"19"	991	2953635	33.6
	"2004"	"2004"	"Kansas"	"20"	982	2734373	35.9
	"2004"	"2004"	"Kentucky"	"21"	1565	4146101	37.7
	"2004"	"2004"	"Louisiana"	"22"	2160	4552238	47.4
	"2004"	"2004"	"Maine"	"23"	557	1313688	42.4
	"2004"	"2004"	"Maryland"	"24"	1940	5546935	35.0
	"2004"	"2004"	"Massachusetts"	"25"	1892	6412281	29.5
	"2004"	"2004"	"Michigan"	"26"	3963	10055315	39.4
	"2004"	"2004"	"Minnesota"	"27"	1538	5087713	30.2
	"2004"	"2004"	"Mississippi"	"28"	942	2889010	32.6
	"2004"	"2004"	"Missouri"	"29"	2017	5747741	35.1
	"2004"	"2004"	"Montana"	"30"	321	930009	34.5
	"2004"	"2004"	"Nebraska"	"31"	530	1749370	30.3
	"2004"	"2004"	"Nevada"	"32"	420	2346222	17.9
	"2004"	"2004"	"New Hampshire"	"33"	429	1290121	33.3
	"2004"	"2004"	"New Jersey"	"34"	3575	8634561	41.4
